2381.actors,"Dennis Quaid,Jim Ciaviezel,Shawn Doyle","Dennis Quaid,Jim Caviezel,Shawn Doyle"
6939.actors,"Nicole Kidman,Dniel Craig,Jeremy Northam","Nicole Kidman,Daniel Craig,Jeremy Northam"
7096.language,Englih,English
4421.duration,12 0min,120 min
4178.creator,Mike Caihll,Mike Cahill
1920.id,tt0022835***,tt0022835
5584.language,"English,nGerman","English,German"
2925.actors,"Dan Aykroyd,Tom Hanks,Christopher Plummre","Dan Aykroyd,Tom Hanks,Christopher Plummer"
2341.release_date,12 July 2002 U(SA),12 July 2002 (USA)
3174.actors,"Peter Lawford,Donlad Crisp,June Lockhart","Peter Lawford,Donald Crisp,June Lockhart"
189.creator,Jordanp Mohr,Jordan Mohr
6461.creator,James Booht,James Booth
6531.release_date,11 Otober 2011 (USA),11 October 2011 (USA)
2779.genre,"Cfomedy,Drama,Romance","Comedy,Drama,Romance"
1359.language,Englsh,English
1113.casting,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson,Philip Stone,Joe Turkel,Anne Jackson,Tony Buton,Lia Beldam,Billie Gibson,Barry Dennen,David Baxt,Manning Redwood,Lisa Burns","Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson,Philip Stone,Joe Turkel,Anne Jackson,Tony Burton,Lia Beldam,Billie Gibson,Barry Dennen,David Baxt,Manning Redwood,Lisa Burns"
1717.review_count,NUL,NULL
3317.genre,"Drama,Family,Spotr","Drama,Family,Sport"
340.filming_locations,UNLL,NULL
1983.actors,"Robert Mitchum,Shelley Winters,illian Gish","Robert Mitchum,Shelley Winters,Lillian Gish"
3732.description,"Two corrupt cops murder an undercover DEA agent by mistake, and frantically try to cover their tracks by framing a homeless mna for the crime. That involves juggling evidence, coaching ...","Two corrupt cops murder an undercover DEA agent by mistake, and frantically try to cover their tracks by framing a homeless man for the crime. That involves juggling evidence, coaching ..."
2087.casting,"Katie Holmes,Benjamin Bratt,Charlie Hunnam,Zooey Deschanel,Fred Ward,Mark Feuerstein,Melanie Lynskey,Philip Bosco,Gabriel Mann,Will McCormack,Gabrielle Union,Greg Kramer,Gillian Ferrabee,Barry Julien,Tony Goldwyn***","Katie Holmes,Benjamin Bratt,Charlie Hunnam,Zooey Deschanel,Fred Ward,Mark Feuerstein,Melanie Lynskey,Philip Bosco,Gabriel Mann,Will McCormack,Gabrielle Union,Greg Kramer,Gillian Ferrabee,Barry Julien,Tony Goldwyn"
5090.casting,"Rod Taylor,Catherine Spaak,Karl Malden,Melvyn Douglas,Merle Oberon,Richard Conte,Michael Rennie,Kevi nMcCarthy,Carmen McRae,Alfred Ryder,Roy Roberts,Al Checco,Sheila Bromley,Harry Hickox,William Lanteau","Rod Taylor,Catherine Spaak,Karl Malden,Melvyn Douglas,Merle Oberon,Richard Conte,Michael Rennie,Kevin McCarthy,Carmen McRae,Alfred Ryder,Roy Roberts,Al Checco,Sheila Bromley,Harry Hickox,William Lanteau"
5873.creator,Eod Naha,Ed Naha
6255.duration,87 mian,87 min
2507.id,ttn0076137,tt0076137
1110.name,American iHstory X,American History X
4693.name,AR iver Runs Through It,A River Runs Through It
230.id,tt00694j36,tt0069436
3072.actors,"Fess Parke,rJeffrey Hunter,Jeff York","Fess Parker,Jeffrey Hunter,Jeff York"
2545.casting,"Emma Roberts,Jake T. Austin,Don Cheadle,Johnny Simmons,Kyla Pratt,Troy Gentile,Lisa Kudrow,Kevin Ddillon,Ajay Naidu,Eric Edelstein,Robinne Lee,Yvette Nicole Brown,Maximiliano Hernández,Andre Ware,Jonathan Klein","Emma Roberts,Jake T. Austin,Don Cheadle,Johnny Simmons,Kyla Pratt,Troy Gentile,Lisa Kudrow,Kevin Dillon,Ajay Naidu,Eric Edelstein,Robinne Lee,Yvette Nicole Brown,Maximiliano Hernández,Andre Ware,Jonathan Klein"
4863.genre,"Action,Adventure,Mytery","Action,Adventure,Mystery"
6319.genre,"Crime,Horror,Thriler","Crime,Horror,Thriller"
25.id,tt0088993,tt1095217
1509.creator,"Karin Howard,Michael Endge","Karin Howard,Michael Ende"
5062.director,Nick Stahgliano,Nick Stagliano
3574.duration,015 min,105 min
2572.director,Jnny Stein,Jenny Stein
31.id,tt0090021,tt0325710
5.id,tt0032484,tt1325014
5798.actors,"Timothy Olyphant,Dougray ScottOlga Kurylenko","Timothy Olyphant,Dougray Scott,Olga Kurylenko"
1768.release_date,23 March 1994f (USA),23 March 1994 (USA)
5198.creator,rCaig Walendziak,Craig Walendziak
2288.country,"Frgance,USA","France,USA"
665.review_count,"3 usera,9 critic","3 user,9 critic"
4581.duration,108 mni,108 min
1826.name,"You, Me ad Dupree","You, Me and Dupree"
6094.name,Hollywood Sex Wanrs,Hollywood Sex Wars
2035.genre,"Cime,Drama","Crime,Drama"
3719.id,t0280371,tt0280371
3113.casting,"Julie Andrews,James Fox,Mary Tyler Moore,Carol Channing,John Gavin,Jack Soo,Pat Morita,Philip Ahn,Antxhony Dexter,Cavada Humphrey,Herbie Faye,Michael St. Clair,Lisabeth Hush,Ann Dee,Beatrice Lillie","Julie Andrews,James Fox,Mary Tyler Moore,Carol Channing,John Gavin,Jack Soo,Pat Morita,Philip Ahn,Anthony Dexter,Cavada Humphrey,Herbie Faye,Michael St. Clair,Lisabeth Hush,Ann Dee,Beatrice Lillie"
931.language,Englihs,English
2255.language,Englisah,English
67.id,tt0032484,tt0315775
5538.language,Engldish,English
3865.director,onathan Lynn,Jonathan Lynn
5037.country,"USA,Geramny","USA,Germany"
683.genre,Dramea,Drama
4529.name,Marlene Dietrich: aHer Own Song,Marlene Dietrich: Her Own Song
5099.filming_locations,NLL,NULL
5570.genre,"Drama,omance","Drama,Romance"
479.language,Englsih,English
6716.description,A filmed account of a bitterly violent mienr strike.,A filmed account of a bitterly violent miner strike.
3501.duration,19 min,119 min
367.description,"When churlish, spoiled rich man Bob Merrick foolishly wecks his speed boat, the rescue team resuscitates him with equipment that's therefore unavailable to aid a local hero, Dr. Wayne ...","When churlish, spoiled rich man Bob Merrick foolishly wrecks his speed boat, the rescue team resuscitates him with equipment that's therefore unavailable to aid a local hero, Dr. Wayne ..."
5487.review_count,"21 user,8 ritic","21 user,8 critic"
4901.country,USbA,USA
1806.name,Paplilon,Papillon
4917.language,Egnlish,English
6980.description,A gay cabaret owner and his drag queen companion agree to put up a false straight frontso that their son can introduce them to his fiancée's right-wing moralistic parents.,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
6909.id,tt008980,tt0089880
5338.name,Judge Dred,Judge Dredd
4568.casting,"Mel England,Tom Sraporito,Peter Stickles,Ace Lundon,Nate Moore","Mel England,Tom Saporito,Peter Stickles,Ace Lundon,Nate Moore"
4453.director,iRchard Marquand,Richard Marquand
5118.actors,"Felicity Huffman,Kevin Zeger,Fionnula Flanagan","Felicity Huffman,Kevin Zegers,Fionnula Flanagan"
6992.duration,93 mni,93 min
3567.review_count,"178 uster,131 critic","178 user,131 critic"
324.casting,"Richard Gere,Kim Basinger,Uma Thurman,Eric Roberts,Paul Guilfoyle,Keith David,Robert Harper,Agustin Rodriguez,Rita Zohar,George Murdock,Shirley Prestia,Toyn Genaro,Katherine Cortez,Wood Moy,Corey Fischer","Richard Gere,Kim Basinger,Uma Thurman,Eric Roberts,Paul Guilfoyle,Keith David,Robert Harper,Agustin Rodriguez,Rita Zohar,George Murdock,Shirley Prestia,Tony Genaro,Katherine Cortez,Wood Moy,Corey Fischer"
14.id,tt0265666,tt0440963
7257.id,t0072324,tt0072324
5900.actors,"Inrid Bolsø Berdal,Iván González,Kyra Zagorsky","Ingrid Bolsø Berdal,Iván González,Kyra Zagorsky"
3278.country,UA,USA
6632.director,"Paul Arnoen,Tom Komisar","Paul Arnone,Tom Komisar"
7327.release_date,7 June 2013 u(USA),7 June 2013 (USA)
6223.id,tt2095171,tt2059171
164.name,Thue Pledge,The Pledge
668.duration,110 miyn,110 min
2977.actors,"Dean Cain,Richdard Riehle,Bill Oberst Jr.","Dean Cain,Richard Riehle,Bill Oberst Jr."
6653.country,UAS,USA
7049.country,UA,USA
42.id,tt0102733,tt0022458
2501.casting,"Robert Benchley,Frances Gifford,Buddy Pepper,Nana Bryant,Claud Allister,Barnett Parker,Billy Lee,Florence Gill,Clarelnce Nash,Norman Ferguson,Ward Kimball,Jimmy Luske,Alan Ladd,Truman Woodworth,Hamilton MacFadden","Robert Benchley,Frances Gifford,Buddy Pepper,Nana Bryant,Claud Allister,Barnett Parker,Billy Lee,Florence Gill,Clarence Nash,Norman Ferguson,Ward Kimball,Jimmy Luske,Alan Ladd,Truman Woodworth,Hamilton MacFadden"
4201.description,A brilliant but eccentric cientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
3321.country,"UA,Spain","USA,Spain"
1855.creator,Brodercik Miller,Broderick Miller
201.id,tt0088993,tt0085154
3736.creator,"Terry McMilla,Terry McMillan","Terry McMillan,Terry McMillan"
309.review_count,"495 user,407 criitc","495 user,407 critic"
584.casting,"Robert Downey Jr.,Val Kilmer,Michelle Monaghan,Corbin Bernsen,Dash Mihok,Larry Miller,Rockmond Dunbar,Shannyn Sossamon,Angela Lindvall,Indio Falconer Downey,Arsiel Winter,Duane Carnahan,Josh Richman,Martha Hackett,Nancy Fish","Robert Downey Jr.,Val Kilmer,Michelle Monaghan,Corbin Bernsen,Dash Mihok,Larry Miller,Rockmond Dunbar,Shannyn Sossamon,Angela Lindvall,Indio Falconer Downey,Ariel Winter,Duane Carnahan,Josh Richman,Martha Hackett,Nancy Fish"
985.creator,"Mike Myes,Michael McCullers","Mike Myers,Michael McCullers"
6630.language,Engliesh,English
338.director,lGeorge Clooney,George Clooney
4883.casting,"Jude Law,Nicole Kidman,Rnée Zellweger,Eileen Atkins,Brendan Gleeson,Philip Seymour Hoffman,Natalie Portman,Giovanni Ribisi,Donald Sutherland,Ray Winstone,Kathy Baker,James Gammon,Charlie Hunnam,Jack White,Ethan Suplee","Jude Law,Nicole Kidman,Renée Zellweger,Eileen Atkins,Brendan Gleeson,Philip Seymour Hoffman,Natalie Portman,Giovanni Ribisi,Donald Sutherland,Ray Winstone,Kathy Baker,James Gammon,Charlie Hunnam,Jack White,Ethan Suplee"
3106.filming_locations,"Warner Brothers Burbank Studios -4000 Warner Boulevard, Burbank, California, USA","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA"
12.id,tt0265666,tt1045642
6613.creator,Asehlin Halfnight,Ashlin Halfnight
3283.description,"Henry Dussard, a young American, inherits a picturesque but badly neglected olive farm in southern France and is determined to make it operatonal again despite cautionary advice from the ...","Henry Dussard, a young American, inherits a picturesque but badly neglected olive farm in southern France and is determined to make it operational again despite cautionary advice from the ..."
1991.genre,"Comedy,Romnace","Comedy,Romance"
4005.creator,"L.M. Kit Carson,Tobe dHooper","L.M. Kit Carson,Tobe Hooper"
159.review_count,"22 user7, critic","22 user,7 critic"
223.description,The bond of friendship between a worldly-wise rmy Master Sergeant and his naive worshiper.,The bond of friendship between a worldly-wise Army Master Sergeant and his naive worshiper.
2550.release_date,1 March 1w973 (USA),1 March 1973 (USA)
7151.filming_locations,"WarnerB rothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA"
3243.language,"apanese,English","Japanese,English"
2913.genre,"Actionn,Adventure,Comedy","Action,Adventure,Comedy"
3274.casting,"Edward Norton,Lucy DeVito,Kent Jude Bernard,Amelia Campbell,Tim Blake Nelson,Randal Reeder,Leo Fabian,Pruitt Taylor Vince,Tina Parker,Susan Sarandon,Ty Burell,Lee Wilkof,Melanie Lynskey,Josh Pais,Lisa Benavides-Nelson","Edward Norton,Lucy DeVito,Kent Jude Bernard,Amelia Campbell,Tim Blake Nelson,Randal Reeder,Leo Fabian,Pruitt Taylor Vince,Tina Parker,Susan Sarandon,Ty Burrell,Lee Wilkof,Melanie Lynskey,Josh Pais,Lisa Benavides-Nelson"
1456.release_date,22June 2007 (USA),22 June 2007 (USA)
4791.creator,Taylor Sheriidan,Taylor Sheridan
5599.id,t1t617661,tt1617661
1479.casting,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George emmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll","Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George Memmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll"
300.director,Robert Lukebtic,Robert Luketic
3375.language,nEglish,English
3705.release_date,14 March s2014 (USA),14 March 2014 (USA)
3688.filming_locations,"Welwyn Garden City, Hertfordshire, Enggland, UK","Welwyn Garden City, Hertfordshire, England, UK"
2808.actors,"Cameron Diaz,Thomas Jane,Chrstina Applegate","Cameron Diaz,Thomas Jane,Christina Applegate"
7034.description,"A former pilot rebels against his creator, teaming up with the scientist responsible for android technology, her pet robot Spot, a rough-and-tumble riverboat guide, and a martia arts warrior.","A former pilot rebels against his creator, teaming up with the scientist responsible for android technology, her pet robot Spot, a rough-and-tumble riverboat guide, and a martial arts warrior."
7289.description,A documentary filmmaker and her crew fight the elements and try to cope with their fears as they seek to understand the strange mystery of a flooded island whree hundreds have died.,A documentary filmmaker and her crew fight the elements and try to cope with their fears as they seek to understand the strange mystery of a flooded island where hundreds have died.
4906.description,A lawyer takes on a negligetn homicide case involving a priest who performed an exorcism on a young girl.,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
3758.genre,"Comedy,Romane","Comedy,Romance"
540.duration,86 mni,86 min
729.director,Todd Phkillips,Todd Phillips
5991.description,"Angie Evans, fast-rising nightclub singer, interrupts her career to marry struggling songwriter Ken Conway. When Ken lucks into a career as chart-topping radioc rooner, Angie is forced into...","Angie Evans, fast-rising nightclub singer, interrupts her career to marry struggling songwriter Ken Conway. When Ken lucks into a career as chart-topping radio crooner, Angie is forced into..."
4848.release_date,o25 December 1936 (USA),25 December 1936 (USA)
4123.genre,Comedfy,Comedy
6217.name,V/H/S2/,V/H/S/2
2393.id,t0064116,tt0064116
6070.id,tt8316458,tt3816458
5768.genre,"Drama,uWar","Drama,War"
4681.review_count,"33 user,21 critic","33 user,12 critic"
1618.actors,"Marshall Thompson,Betsy Drajke,Richard Haydn","Marshall Thompson,Betsy Drake,Richard Haydn"
489.release_date,3 February 2102 (USA),3 February 2012 (USA)
694.director,Olivre Stone,Oliver Stone
6281.actors,"Michael Fassbender,Domchnall Gleeson,Maggie Gyllenhaal","Michael Fassbender,Domhnall Gleeson,Maggie Gyllenhaal"
3505.name,Music aqnd Lyrics,Music and Lyrics
4302.country,UAS,USA
1994.casting,"Dean Martin,Kim Novak,Ray Walston,Felicia Farr,Cliff Osmond,Barbara Pepper,Skip Ward,Doro Merande,Bobo Lewis,Tom Nolan,Alice Pearce,John Fiedler,Arlen Stuart,Howard MNcear,Cliff Norton","Dean Martin,Kim Novak,Ray Walston,Felicia Farr,Cliff Osmond,Barbara Pepper,Skip Ward,Doro Merande,Bobo Lewis,Tom Nolan,Alice Pearce,John Fiedler,Arlen Stuart,Howard McNear,Cliff Norton"
6038.id,t0096149,tt0096149
5845.description,A televisin producer with a penchant for drinking and gambling is sent to Las Vegas to convince his troubled niece to enter rehab.,A television producer with a penchant for drinking and gambling is sent to Las Vegas to convince his troubled niece to enter rehab.
7006.country,UA,USA
416.review_count,"240 user,74 citic","240 user,74 critic"
6025.name,"Chronic-Con, Episdoe 420: A New Dope","Chronic-Con, Episode 420: A New Dope"
4757.actors,"Mipchael J. Pollard,Richard Evans,Lee Purcell","Michael J. Pollard,Richard Evans,Lee Purcell"
6297.country,SA,USA
5563.id,t3179568,tt3179568
879.release_date,19 June 2015 USA),19 June 2015 (USA)
6015.review_count,"1,039 user,28 critic","1,039 user,282 critic"
7084.id,t3687398,tt3687398
4165.duration,11y8 min,118 min
6044.actors,"Michael Caine,Brendan Fraseri,Do Thi Hai Yen","Michael Caine,Brendan Fraser,Do Thi Hai Yen"
736.genre,"Mystery,Thcriller","Mystery,Thriller"
562.director,Neil Yougn,Neil Young
1797.actors,"Russell Crjowe,Ed Harris,Jennifer Connelly","Russell Crowe,Ed Harris,Jennifer Connelly"
1520.language,Englsh,English
1539.director,Heoyt Yeatman,Hoyt Yeatman
4348.language,Englih,English
2351.director,Dito Motiel,Dito Montiel
1241.genre,"Acion,Adventure","Action,Adventure"
500.review_count,"28 user,9 critci","28 user,9 critic"
4461.id,t2125666,tt2125666
3939.actors,"D.B. Sweeney,William Matpother,Richard Portnow","D.B. Sweeney,William Mapother,Richard Portnow"
3219.review_count,"360 user,272 critirc","360 user,272 critic"
5902.creator,"Charle sBusch,Charles Busch","Charles Busch,Charles Busch"
3939.release_date,6 April 2013 (UA),6 April 2013 (USA)
2065.casting,"Elisabeth Shue,Kevin Bacon,Josh Brolin,Kim Dickens,Greg Grunberg,Joey Slotnick,Mary Randle,William Devane,Rhona Mita,Pablo Espinosa,Margot Rose,Jimmie F. Skaggs,Jeffrey Scaperrotta,Sarah Bowles,Kelli Scott","Elisabeth Shue,Kevin Bacon,Josh Brolin,Kim Dickens,Greg Grunberg,Joey Slotnick,Mary Randle,William Devane,Rhona Mitra,Pablo Espinosa,Margot Rose,Jimmie F. Skaggs,Jeffrey Scaperrotta,Sarah Bowles,Kelli Scott"
2365.review_count,"40 user4,7 critic","40 user,47 critic"
7262.filming_locations,"Los Angeles, Californai, USA","Los Angeles, California, USA"
6093.release_date,22 October 2011 (UAS),22 October 2011 (USA)
6257.genre,"Horror,Sci-Fi,Thricller","Horror,Sci-Fi,Thriller"
4248.duration,v139 min,139 min
5108.release_date,21 Septemberm 1994 (USA),21 September 1994 (USA)
1869.language,Engish,English
4908.review_count,"20 1user,61 critic","201 user,61 critic"
2946.director,Kcurt Hale,Kurt Hale
5110.country,SUA,USA
6083.casting,"Kate Hodge,Ken Foree,R.A. Mihailoff,William Butler,Viggo oMrtensen,Joe Unger,Tom Everett,Miriam Byrd-Nethery,Jennifer Banko,David Cloud,Beth DePatie,Toni Hudson,Michael Shamus Wiles,Ron Brooks,Duane Whitaker","Kate Hodge,Ken Foree,R.A. Mihailoff,William Butler,Viggo Mortensen,Joe Unger,Tom Everett,Miriam Byrd-Nethery,Jennifer Banko,David Cloud,Beth DePatie,Toni Hudson,Michael Shamus Wiles,Ron Brooks,Duane Whitaker"
6554.release_date,18 Octoebr 1996 (USA),18 October 1996 (USA)
4474.director,Roger Duchony,Roger Duchowny
1948.release_date,11 July 194 (Japan),11 July 1964 (Japan)
2829.director,"Michael Davis,John Errnigton","Michael Davis,John Errington"
3787.genre,"Acion,Adventure,Drama","Action,Adventure,Drama"
7318.name,Surviivng Desire,Surviving Desire
574.director,Bryan Singxer,Bryan Singer
4426.genre,Darma,Drama
6860.actors,"Goldie aHwn,Chevy Chase,Charles Grodin","Goldie Hawn,Chevy Chase,Charles Grodin"
2103.release_date,25 Jne 2004 (USA),25 June 2004 (USA)
4624.duration,113a min,113 min
1252.director,"Ron Clements,John zMusker","Ron Clements,John Musker"
1464.release_date,25 May 1979 (US)A,25 May 1979 (USA)
2102.actors,"Dev Pate,lFreida Pinto,Saurabh Shukla","Dev Patel,Freida Pinto,Saurabh Shukla"
1757.duration,116 in,116 min
4400.filming_locations,"Kayenta, rizona, USA","Kayenta, Arizona, USA"
5292.duration,78 imn,78 min
88.id,tt0088993,tt0034240
5469.filming_locations,"Hudson Valley, New York ,USA","Hudson Valley, New York, USA"
1732.casting,"Alicia Vikander,Cara Delevingne,Holliday Grainger,Christoph Waltz,Jack O'Connell,Dane DeHaan,Judi Dench,Zach Galifianakis,Kevin cMKidd,Tom Hollander,Matthew Morrison,David Harewood,Julian Seager,Joanna Scanlan,Douglas Hodge","Alicia Vikander,Cara Delevingne,Holliday Grainger,Christoph Waltz,Jack O'Connell,Dane DeHaan,Judi Dench,Zach Galifianakis,Kevin McKidd,Tom Hollander,Matthew Morrison,David Harewood,Julian Seager,Joanna Scanlan,Douglas Hodge"
788.duration,88 imn,88 min
3976.duration,88n min,88 min
848.actors,"Ron Liivngston,Jennifer Aniston,David Herman","Ron Livingston,Jennifer Aniston,David Herman"
114.id,tt0088993,tt0052561
2225.name,The War o the Roses,The War of the Roses
5659.review_count,"18 user,12 critqic","18 user,12 critic"
5890.duration,g98 min,98 min
5594.review_count,"313 user,225 cirtic","313 user,225 critic"
2525.casting,"Brian O'Halloran,Jeff Anderson,MarilynGhigliotti,Lisa Spoonauer,Jason Mewes,Kevin Smith,Scott Mosier,Scott Schiaffo,Al Berkowitz,Walter Flanagan,Ed Hapstak,Lee Bendick,David Klein,Pattijean Csik,Ken Clark","Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,Jason Mewes,Kevin Smith,Scott Mosier,Scott Schiaffo,Al Berkowitz,Walter Flanagan,Ed Hapstak,Lee Bendick,David Klein,Pattijean Csik,Ken Clark"
2941.creator,"Robert E. Hopins,Bess Meredyth","Robert E. Hopkins,Bess Meredyth"
2743.description,"Two centuries after her death, Ellen Ripley is revived as a powerful human/alien hybrid clkone who must continue her war against the aliens.","Two centuries after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone who must continue her war against the aliens."
2708.director,Jonhn Stephenson,John Stephenson
7152.creator,"Robert E. Sherwoo,dBenn W. Levy","Robert E. Sherwood,Benn W. Levy"
4719.filming_locations,"Cancún, Benito Juárez, Quintana Roo,Mexico","Cancún, Benito Juárez, Quintana Roo, Mexico"
4308.director,Lsase Hallström,Lasse Hallström
2891.language,nglish,English
2209.name,Enemy of the Statxe,Enemy of the State
1968.actors,"Denzel Washington,Milla Jovovich,RayAllen","Denzel Washington,Milla Jovovich,Ray Allen"
2907.country,SUA,USA
5850.casting,"Nick Robinson,Gabriel Basso,Moises Arias,Nick Offerman,Erin Moriarty,Craig Cackowski,William Sonnie,Nathan Keyes,Cristoffer Carter,Megan Mullally,Priscilla Kaczuk,Marc Evan Jackson,Alison Bre,Eugene Cordero,Gillian Vigman","Nick Robinson,Gabriel Basso,Moises Arias,Nick Offerman,Erin Moriarty,Craig Cackowski,William Sonnie,Nathan Keyes,Cristoffer Carter,Megan Mullally,Priscilla Kaczuk,Marc Evan Jackson,Alison Brie,Eugene Cordero,Gillian Vigman"
6127.country,hUSA,USA
742.country,UuSA,USA
6931.genre,Documetnary,Documentary
570.director,Luwis Mandoki,Luis Mandoki
3198.genre,"ComedyD,rama,Family","Comedy,Drama,Family"
1801.creator,William Goldamn,William Goldman
596.creator,David Guggenehim,David Guggenheim
6634.creator,"Rodrigo Mattos,JeffSun","Rodrigo Mattos,Jeff Sun"
4289.country,UAS,USA
4535.casting,"Jennifer Jones,Charles Bickford,Vincent Price,Lee J. Cobb,Gladys Cooper,Anne Revere,Roman Bohne,Mary Anderson,Patricia Morison,Aubrey Mather,Charles Dingle,Edith Barrett,Sig Ruman,Blanche Yurka,Ermadean Walters","Jennifer Jones,Charles Bickford,Vincent Price,Lee J. Cobb,Gladys Cooper,Anne Revere,Roman Bohnen,Mary Anderson,Patricia Morison,Aubrey Mather,Charles Dingle,Edith Barrett,Sig Ruman,Blanche Yurka,Ermadean Walters"
6174.description,"An aging hitman gets a contract to kill a general i Buenos Aires. But when his mark becomes unavailable, he becomes involved in Argentinian tango culture.","An aging hitman gets a contract to kill a general in Buenos Aires. But when his mark becomes unavailable, he becomes involved in Argentinian tango culture."
505.casting,"David Keith,Drew Barrymore,Freddie Jones,Heather Locklear,Martin Sheen,George C. Scott,Art Carney,Louise Fletcher,Moess Gunn,Antonio Fargas,Drew Snyder,Curtis Credel,Keith Colbert,Dick Warlock,Jeff Ramsey","David Keith,Drew Barrymore,Freddie Jones,Heather Locklear,Martin Sheen,George C. Scott,Art Carney,Louise Fletcher,Moses Gunn,Antonio Fargas,Drew Snyder,Curtis Credel,Keith Colbert,Dick Warlock,Jeff Ramsey"
4613.review_count,"18 user,71 critic","118 user,71 critic"
2545.genre,"Comedy,Famxily","Comedy,Family"
3722.creator,"Craig Johinson,Mark Heyman","Craig Johnson,Mark Heyman"
2201.language,Enlish,English
