2280.id,-1295,2564
1589.ounces,4.758422482696155,12.0
1627.style,eGrman Pilsener,German Pilsener
2173.city,Cold Szpring,Cold Spring
57.id,2265.0,2216
1870.id,4430,1385
1147.style,Aerican Pale Ale (APA),American Pale Ale (APA)
43.style,Berliner eissbier,Berliner Weissbier
201.beername,Syk-Five,Sky-Five
74.breweryname,gainst the Grain Brewery,Against the Grain Brewery
35.breweryid,177.0,368
1460.beername,Fa tTire Amber Ale (2008),Fat Tire Amber Ale (2008)
2332.breweryname,Warped iWng Brewing Company,Warped Wing Brewing Company
459.beername,Brooklyn Summer Alqe,Brooklyn Summer Ale
2225.style,Aemrican IPA,American IPA
1519.breweryname,Ocicdental Brewing Company,Occidental Brewing Company
1083.city,Protland,Portland
697.style,American Brodwn Ale,American Brown Ale
2404.beername,Wynkoop Pumpkin lAe,Wynkoop Pumpkin Ale
1324.beername,Volcano Reqd Ale,Volcano Red Ale
2293.state,CcO,CO
1507.city,O'allon,O'Fallon
292.state,rMI,MI
1343.beername,Dico Superfly,Disco Superfly
1595.breweryname,Oska rBlues Brewery,Oskar Blues Brewery
55.breweryname,450 North Brewingj Company,450 North Brewing Company
1050.style,Fruit / Vgeetable Beer,Fruit / Vegetable Beer
520.ounces,3.4648246412928185,12.0
36.id,2265.0,173
1598.beername,G'KNIGsHT,G'KNIGHT
1499.style,Extra Special / Strong Bvitter (ESB),Extra Special / Strong Bitter (ESB)
1554.style,Scotch Ale / nWee Heavy,Scotch Ale / Wee Heavy
2236.city,Wgarrenville,Warrenville
1246.breweryname,Madetree Brewing Company,Madtree Brewing Company
35.index,5.0,35
443.city,Grand Rapis,Grand Rapids
2166.ounces,5.764812313825336,12.0
81.city,ouisville,Louisville
2268.breweryid,1081,522
2320.style,American IAP,American IPA
2175.state,RO,OR
1809.beername,Dread Brown le,Dread Brown Ale
1283.beername,Rubbuerneck Red,Rubberneck Red
173.breweryid,-330,360
1404.breweryname,Morgan Strete Brewery,Morgan Street Brewery
269.ounces,5.471657226651253,16.0
426.breweryname,Brewery Vvant,Brewery Vivant
2236.index,3690,2236
313.breweryname,Blue Mountain Brewrey,Blue Mountain Brewery
1091.id,-1239,2193
27.index,2.0,27
1478.state,X,TX
1296.state,YN,NY
66.id,2265.0,515
624.id,5896,2338
20.id,2264.0,1593
1260.state,A,PA
1910.ounces,28.457944312757398,12.0
15.index,1.0,15
2356.id,5364,2570
1421.ounces,3.2217103188983267,16.0
2144.state,TV,VT
1394.index,3962,1394
32.index,10.0,32
1862.city,rBooklyn,Brooklyn
8.index,1.0,8
728.style,Amerwican IPA,American IPA
917.city,Cicago,Chicago
48.id,2263.0,2286
80.city,Luoisville,Louisville
2376.style,Boxck,Bock
1613.breweryname,Pateros Creek Brewing Cmpany,Pateros Creek Brewing Company
234.beername,Stveel Rail Extra Pale Ale,Steel Rail Extra Pale Ale
1603.style,American Pale Ae (APA),American Pale Ale (APA)
1042.style,Märzen h/ Oktoberfest,Märzen / Oktoberfest
39.beername,Hell or High Watermelocn Wheat,Hell or High Watermelon Wheat
1492.breweryname,Nworth Country Brewing Company,North Country Brewing Company
1480.state,TnX,TX
2091.city,Mnaheim,Manheim
1133.state,IW,WI
25.index,13.0,25
1659.city,Cicago,Chicago
1806.beername,Sanitas Safison Ale,Sanitas Saison Ale
2409.city,Dener,Denver
2382.breweryname,Wisconsin Brewnig Company,Wisconsin Brewing Company
428.state,yMI,MI
1791.state,Z,AZ
450.breweryname,Brewery ivant,Brewery Vivant
1158.style,Scottisoh Ale,Scottish Ale
2124.state,FvL,FL
497.breweryid,1070,5
71.breweryname,Againstl the Grain Brewery,Against the Grain Brewery
1401.style,Märzn / Oktoberfest,Märzen / Oktoberfest
288.breweryname,Blackrokcs Brewery,Blackrocks Brewery
1175.breweryname,King treet Brewing Company,King Street Brewing Company
1467.style,Belgian Palef Ale,Belgian Pale Ale
621.state,nFL,FL
75.id,2265.0,2681
2361.state,IhL,IL
166.city,Bouklder,Boulder
349.state,OC,CO
18.breweryid,177.0,154
1093.beername,ise-Up Red (2014),Rise-Up Red (2014)
26.id,2265.0,802
2252.city,Salt Lakke City,Salt Lake City
29.id,2265.0,799
1094.beername,Abomiinable Winter Ale (2012),Abominable Winter Ale (2012)
2188.style,American Portr,American Porter
1592.state,CfO,CO
2295.beername,Uplsope Pale Ale,Upslope Pale Ale
2113.city,Manhattan***,Manhattan
1740.breweryname,River Noth Brewery,River North Brewery
8.breweryname,18th Sptreet Brewery,18th Street Brewery
17.id,2264.0,2170
904.style,AmericanI PA,American IPA
1666.city,emont,Lemont
33.id,2263.0,432
39.id,2263.0,9
174.city,lBoomfield,Bloomfield
1304.breweryname,Maxui Brewing Company,Maui Brewing Company
149.breweryname,Astoria Brewing Compny,Astoria Brewing Company
965.city,Dvenport,Davenport
1481.breweryname,ew South Brewing Company,New South Brewing Company
924.beername,Grand anyon Sunset Amber Ale,Grand Canyon Sunset Amber Ale
436.breweryid,1076,10
9.breweryname,18th Street Breery,18th Street Brewery
41.id,4760,2518
1666.state,eIL,IL
30.index,2.0,30
685.state,qDC,DC
1606.city,Rgoers,Rogers
2068.index,-1369,2068
656.state,wCO,CO
786.breweryname,FearlessB rewing Company,Fearless Brewing Company
1889.beername,Mexican ogger,Mexican Logger
996.state,yMI,MI
56.id,2265.0,2217
1919.style,Vienna ager,Vienna Lager
2311.breweryname,ander Mill Ciders,Vander Mill Ciders
1949.style,American Pale Ale (AePA),American Pale Ale (APA)
434.style,Saison /F armhouse Ale,Saison / Farmhouse Ale
2158.city,Torrane,Torrance
964.beername,Great River iGolden Ale,Great River Golden Ale
549.state,JN,NJ
1179.city,nchorage,Anchorage
2402.beername,atty's Chile Beer,Patty's Chile Beer
1830.breweryid,804,411
1005.beername,Guest Lgaer,Guest Lager
491.index,-1554,491
1772.breweryname,Round Gus Brewing,Round Guys Brewing
54.state,N,IN
1704.breweryname,Redstne Meadery,Redstone Meadery
2401.style,Amrican Pale Ale (APA),American Pale Ale (APA)
309.style,Measd,Mead
49.city,SaintL ouis,Saint Louis
740.style,Hefewyeizen,Hefeweizen
1727.state,lIL,IL
743.state,NyY,NY
116.beername,Hop Ottin' PIA (2011),Hop Ottin' IPA (2011)
203.style,Gemran Pilsener,German Pilsener
347.breweryname,Bonfiree Brewing Company,Bonfire Brewing Company
1512.beername,Overcast Espresso Stotu,Overcast Espresso Stout
18.id,2262.0,2169
1704.beername,Snshine Nectar,Sunshine Nectar
1600.id,5075,1328
457.state,eAK,AK
1329.breweryname,Miami rBewing Company,Miami Brewing Company
1400.breweryname,Mgorgan Street Brewery,Morgan Street Brewery
17.breweryid,177.0,154
239.breweryname,Big Bend Brekwing Company,Big Bend Brewing Company
13.style,Saison / Frmhouse Ale,Saison / Farmhouse Ale
1983.breweryname,Specher Brewing Company,Sprecher Brewing Company
638.city,Newpot,Newport
934.city,Auora,Aurora
2347.style,Bocwk,Bock
631.breweryid,-446,320
2229.style,Americann IPA,American IPA
2161.ounces,30.187598964119985,16.0
700.ounces,22.78094830456095,12.0
1846.id,5373,2239
49.breweryid,177.0,60
1586.city,Lyonvs,Lyons
1759.city,Roankoe,Roanoke
1633.id,-1491,2628
200.state,NM,MN
1229.id,-1454,1308
2091.state,zPA,PA
1636.style,Czechf Pilsener,Czech Pilsener
733.city,Dodlores,Dolores
555.state,dNC,NC
865.breweryname,Frankenmuth Brewey,Frankenmuth Brewery
1243.state,xGA,GA
1239.breweryid,-329,158
106.breweryid,408.0,171
1967.city,Coroe,Conroe
340.city,Eage,Eagle
1255.id,5794,360
1310.breweryname,Maui Brewing oCmpany,Maui Brewing Company
1004.beername,Heyoka PA,Heyoka IPA
1668.breweryname,Preswcott Brewing Company,Prescott Brewing Company
1098.style,Hefeweiyzen,Hefeweizen
1084.beername,onstop Hef Hop,Nonstop Hef Hop
1821.style,Cidre,Cider
645.city,Spingdale,Springdale
456.index,3909,456
2312.breweryname,Vault Brsewing Company,Vault Brewing Company
1468.city,Woodibridge,Woodbridge
1444.beername,SlowR ide,Slow Ride
806.breweryname,Firestone Walker Brewin Company,Firestone Walker Brewing Company
997.city,Birmeingham,Birmingham
339.state,OC,CO
2256.beername,USM'R,SUM'R
584.beername,Killr Kolsch,Killer Kolsch
921.breweryid,-396,420
1135.breweryname,James Page Brewing ompany,James Page Brewing Company
731.breweryname,oDlores River Brewery,Dolores River Brewery
2060.beername,Indiaynapolis Indians Lager,Indianapolis Indians Lager
2137.city,Ricmhond,Richmond
1374.style,American Adjujnct Lager,American Adjunct Lager
2123.breweryname,Tamarack Brewing Cmpany,Tamarack Brewing Company
704.city,Dalals,Dallas
81.beername,Pile of Faec,Pile of Face
446.index,-1352,446
2260.beername,WYLD Extra Pale kAle,WYLD Extra Pale Ale
13.breweryname,g18th Street Brewery,18th Street Brewery
1068.state,RO,OR
417.style,Bejlgian IPA,Belgian IPA
43.index,5.0,43
2023.state,L,AL
1354.id,-1263,273
2158.index,3840,2158
631.index,4776,631
1406.index,-1452,1406
1715.state,CbO,CO
19.index,3.0,19
1855.breweryname,Silvetron Brewery,Silverton Brewery
2173.beername,Los Trout Brown Ale,Lost Trout Brown Ale
1908.beername,Daunkel Lager,Dunkel Lager
637.breweryid,973,101
1250.city,Cincinnait,Cincinnati
9.id,2262.0,2258
1789.state,ZA,AZ
16.index,3.0,16
1198.style,Americna IPA,American IPA
1919.state,YW,WY
1849.style,American Pale le (APA),American Pale Ale (APA)
315.city,Arringtno,Arrington
620.style,Mounich Helles Lager,Munich Helles Lager
702.state,TzX,TX
572.state,O,CO
1409.breweryname,Mother' sBrewing,Mother's Brewing
202.ounces,31.92768329790506,12.0
517.style,American Amber / Red le,American Amber / Red Ale
1247.breweryid,893,91
227.city,Dluth,Duluth
22.id,1979.0,1036
1579.beername,Ten Fidy Imerial Stout,Ten Fidy Imperial Stout
340.style,English Inbdia Pale Ale (IPA),English India Pale Ale (IPA)
2356.city,Hoodksett,Hooksett
1779.city,Sacrametno,Sacramento
1639.city,an Antonio,San Antonio
23.breweryid,177.0,368
1287.beername,River Housei Saison,River House Saison
1959.style,Ameican Double / Imperial IPA,American Double / Imperial IPA
72.index,3.0,72
1730.beername,Pure Fry,Pure Fury
1133.city,Stlevens Point,Stevens Point
2160.state,A,CA
311.state,VhA,VA
1399.city,tMontauk,Montauk
415.state,IM,MI
2239.breweryid,-470,74
85.breweryid,177.0,367
28.breweryid,177.0,368
17.index,12.0,17
1145.beername,Weisse Vers (2012),Weisse Versa (2012)
93.breweryid,177.0,388
1769.beername,RouxghTail IPA,RoughTail IPA
2209.state,M,NM
136.breweryname,Armadillo Ale Works***,Armadillo Ale Works
1049.state,SK,KS
1591.state,O,CO
1901.breweryname,Sly Fox Brewing Comany,Sly Fox Brewing Company
772.beername,Iron Holrse Pale Ale,Iron Horse Pale Ale
416.state,IM,MI
2120.breweryname,mTallgrass Brewing Company,Tallgrass Brewing Company
118.style,Creham Ale,Cream Ale
1857.state,OC,CO
1828.state,EM,ME
335.style,Munich Helles Lagre,Munich Helles Lager
623.beername,Florid Cracker Belgian Wit,Florida Cracker Belgian Wit
1274.beername,Marble Pilsnre,Marble Pilsner
1883.city,Durangeo,Durango
617.city,Tmpa,Tampa
2123.beername,Yard Slae Amber Ale,Yard Sale Amber Ale
434.state,MwI,MI
557.beername,White Zhombie Ale,White Zombie Ale
1962.breweryid,-451,118
484.city,Micihgan City,Michigan City
2249.id,5834,1171
113.index,2.0,113
1880.state,YN,NY
787.style,Scottish lAe,Scottish Ale
2187.city,Kearey,Kearney
38.style,Aerican IPA,American IPA
1849.beername,Sierra Nevada Pale Ael,Sierra Nevada Pale Ale
1634.beername,Pete'st ESP Lager (1998),Pete's ESP Lager (1998)
495.beername,Dead iArm,Dead Arm
96.index,2.0,96
372.breweryname,ozeman Brewing Company,Bozeman Brewing Company
1499.breweryname,NorhGate Brewing,NorthGate Brewing
92.style,Kölch,Kölsch
1886.breweryname,Ska BrewingC ompany,Ska Brewing Company
412.style,American Porer,American Porter
615.state,L,FL
354.state,O,CO
2186.style,Bragot,Braggot
2102.index,4539,2102
2146.style,American Double / Impeial IPA,American Double / Imperial IPA
847.style,American Blojnde Ale,American Blonde Ale
835.style,American Ambexr / Red Lager,American Amber / Red Lager
1033.breweryname,Hawai' Nui Brewing Co.,Hawai'i Nui Brewing Co.
152.id,4757,2502
1905.state,A,PA
45.index,1.0,45
2250.state,TC,CT
1495.state,NM,MN
527.city,Gloucestr,Gloucester
1654.style,Americn Blonde Ale,American Blonde Ale
460.city,Brooklyn***,Brooklyn
551.style,Americanm Double / Imperial IPA,American Double / Imperial IPA
1416.id,-1586,1598
964.breweryname,Great Rivre Brewery,Great River Brewery
101.id,2265.0,2102
873.style,Americna IPA,American IPA
947.state,NI,IN
218.city,Kalamaoo,Kalamazoo
1009.breweryname,Half cAre Beer Company,Half Acre Beer Company
1467.state,T,CT
2062.style,Belgian Strotng Pale Ale,Belgian Strong Pale Ale
1940.state,X,TX
1214.city,Raeligh,Raleigh
1463.breweryname,New England BrewingC ompany,New England Brewing Company
51.beername,aGlaxyfest,Galaxyfest
2405.city,Denvear,Denver
642.style,Gerhman Pilsener,German Pilsener
1505.breweryname,Notchz Brewing Company,Notch Brewing Company
1593.beername,Dae's Pale Ale (2004),Dale's Pale Ale (2004)
1810.beername,Casinos IA,Casinos IPA
1156.beername,KelSo India ePale Ale,KelSo India Pale Ale
37.index,3.0,37
784.breweryname,Fearless Brewin Company,Fearless Brewing Company
742.style,Amelrican IPA,American IPA
20.city,San eFrancisco,San Francisco
1127.breweryname,Jckie O's Pub & Brewery,Jackie O's Pub & Brewery
1699.style,Cidr,Cider
22.index,2.0,22
500.style,American lBonde Ale,American Blonde Ale
1213.city,Lone Tnree,Lone Tree
1446.city,Fot Collins,Fort Collins
2106.style,Amreican Porter,American Porter
287.beername,Flying aSilor,Flying Sailor
2154.index,4642,2154
2067.style,English Barleywne,English Barleywine
988.state,IR,RI
1611.city,Fort Colulins,Fort Collins
993.breweryname,Griffin Claw Breweing Company,Griffin Claw Brewing Company
973.state,AI,IA
122.index,1.0,122
1007.beername,Akari Shogun Amreican Wheat Ale,Akari Shogun American Wheat Ale
842.breweryname,ounders Brewing Company,Founders Brewing Company
2238.breweryid,801,74
1759.state,VzA,VA
775.state,H,OH
16.id,2260.0,2318
1344.id,5757,2533
888.city,Lake eneva,Lake Geneva
1100.state,C,NC
2397.city,Bjend,Bend
1405.breweryname,other Earth Brew Company,Mother Earth Brew Company
970.state,IhA,IA
470.city,Reon,Reno
1854.city,da,Ada
1937.breweryname,Sockeye Brewing Cnompany,Sockeye Brewing Company
1306.style,ruit / Vegetable Beer,Fruit / Vegetable Beer
1971.id,-1346,2271
2395.style,Aemrican Pilsner,American Pilsner
1105.beername,Shenanigans ummer Ale,Shenanigans Summer Ale
1402.state,OM,MO
1438.breweryname,Nebraska Brewing oCmpany,Nebraska Brewing Company
957.breweryname,Great Divide Brewinge Company,Great Divide Brewing Company
1990.state,VdA,VA
821.beername,Raicnloud Robust Porter,Raincloud Robust Porter
1207.beername,bGetaway,Getaway
1862.beername,Bengail,Bengali
1191.style,Kölscsh,Kölsch
1768.city,Midwest Citky,Midwest City
2235.style,American Pale Whaet Ale,American Pale Wheat Ale
188.id,-1378,1018
414.beername,Smoky Whaet,Smoky Wheat
976.breweryname,Great River rBewery,Great River Brewery
2258.id,-1226,1089
1151.style,American Double / mperial IPA,American Double / Imperial IPA
776.beername,Hop Stalker Fresh Hop IAP,Hop Stalker Fresh Hop IPA
1802.beername,Hop Shock PA (2010),Hop Shock IPA (2010)
12.breweryname,18th Street Berwery,18th Street Brewery
1944.ounces,28.667429237470426,16.0
43.id,2261.0,2545
1826.city,Saint ouis,Saint Louis
1543.style,American Pale Ale (AP),American Pale Ale (APA)
2164.id,4289,963
566.index,-1379,566
1011.breweryname,Hlf Acre Beer Company,Half Acre Beer Company
1316.breweryid,-369,448
704.state,XT,TX
10.id,2265.0,2131
1363.style,Bcok,Bock
445.style,Triplel,Tripel
109.index,3653,109
747.style,Pumpkin Alke,Pumpkin Ale
1486.city,Newbryport,Newburyport
482.ounces,31.202822556906863,16.0
595.style,American Dobule / Imperial IPA,American Double / Imperial IPA
874.beername,Yo Soy Un erliner,Yo Soy Un Berliner
1455.style,American PaleLager,American Pale Lager
1898.city,Anchorae,Anchorage
170.beername,Mad each,Mad Beach
1163.style,Americna IPA,American IPA
3.style,Aemrican IPA,American IPA
78.city,Loisville,Louisville
1236.beername,Knotty Pien,Knotty Pine
1924.breweryid,-338,309
1531.city,Spirit Laek,Spirit Lake
2081.beername,ender,Bender
2325.id,4938,1030
1208.breweryname,Lif Bridge Brewing Company,Lift Bridge Brewing Company
499.breweryname,COOP Ael Works,COOP Ale Works
625.city,Nantcuket,Nantucket
1551.state,lGA,GA
2002.city,Stevens oPint,Stevens Point
988.city,Wseterly,Westerly
143.beername,Alsan IPA,Aslan IPA
1.id,1979.0,1436
2296.breweryid,-361,51
23.id,1979.0,1024
334.state,YN,NY
28.index,9.0,28
19.city,Crovallis,Corvallis
1432.breweryname,Natian Brewey,Natian Brewery
1289.breweryname,Matt Brewing Cmopany,Matt Brewing Company
2361.breweryid,-434,361
1653.breweryname,iPney River Brewing Company,Piney River Brewing Company
14.index,3.0,14
1247.state,H,OH
593.ounces,25.519621422772445,16.0
741.beername,oDry Dock Amber Ale,Dry Dock Amber Ale
1460.breweryid,951,82
1948.breweryname,Southern Prohibition Brewing Com..,Southern Prohibition Brewing Com...
332.breweryname,Boclero Snort Brewery,Bolero Snort Brewery
1699.beername,Hapy Cider,Happy Cider
73.id,2265.0,2683
1371.ounces,24.98856581268266,24.0
2117.breweryname,Talldgrass Brewing Company,Tallgrass Brewing Company
1484.breweryname,Newburyportq Brewing Company,Newburyport Brewing Company
1554.breweryname,Oskar lues Brewery,Oskar Blues Brewery
1238.city,Flamgstaff,Flagstaff
260.breweryname,Big Sky Breing Company,Big Sky Brewing Company
1642.beername,North 45A mber Ale,North 45 Amber Ale
1309.beername,Flyni' HI.P.Hay,Flyin' HI.P.Hay
2349.breweryid,1075,132
1223.style,Altbire,Altbier
1135.beername,YabbaD haba Chai Tea Porter,Yabba Dhaba Chai Tea Porter
261.breweryname,iBg Sky Brewing Company,Big Sky Brewing Company
1890.breweryname,Ska Brewing Compny,Ska Brewing Company
1625.style,American PA,American IPA
1021.breweryname,Harpoon rBewery,Harpoon Brewery
1037.ounces,5.161295859070538,19.2
31.index,6.0,31
2330.state,NI,IN
165.state,CeO,CO
768.state,Y,NY
1154.style,Amebrican IPA,American IPA
1299.breweryname,Matt Brewing oCmpany,Matt Brewing Company
1495.beername,aMggie's Leap,Maggie's Leap
1472.index,4983,1472
2244.city,Wrarenville,Warrenville
1039.city,Mill Valely,Mill Valley
1150.breweryname,Karbach Brewing Compafny,Karbach Brewing Company
871.state,X,TX
671.city,Spearfsih,Spearfish
1329.ounces,5.6445346327966295,12.0
1126.beername,Thunder nn,Thunder Ann
1519.beername,Occidenal Dunkel,Occidental Dunkel
144.beername,Aslan Ambeyr,Aslan Amber
50.id,2260.0,1870
649.beername,Heiner Brau Kölcsh,Heiner Brau Kölsch
487.style,American Pale Ljager,American Pale Lager
505.breweryname,Caldera Brewing Comzpany,Caldera Brewing Company
1567.city,Longmnt,Longmont
37.id,2265.0,11
834.breweryname,Fort Gmeorge Brewery,Fort George Brewery
432.style,Bière de fGarde,Bière de Garde
1934.style,merican Pale Ale (APA),American Pale Ale (APA)
23.index,2.0,23
2302.state,T,UT
46.id,2263.0,2288
547.beername,lagship IPA,Flagship IPA
324.state,eUT,UT
1689.breweryname,Real Ale Brewing Compqany,Real Ale Brewing Company
46.index,21.0,46
1593.state,lCO,CO
2405.breweryname,Wynkop Brewing Company,Wynkoop Brewing Company
198.beername,Lost Merdiian Wit,Lost Meridian Wit
2106.beername,Zobie Monkie,Zombie Monkie
1199.beername,Madraj Allta,Madra Allta
1068.city,Spriingfield,Springfield
66.city,Abita fSprings,Abita Springs
1714.breweryname,Revolution Bwrewing,Revolution Brewing
1731.state,aOH,OH
943.city,urora,Aurora
29.index,2.0,29
20.style,Baltic Potrer,Baltic Porter
2139.state,X,TX
638.state,I,RI
1759.style,American Ambre / Red Lager,American Amber / Red Lager
199.city,Potrland,Portland
1900.style,Witer Warmer,Winter Warmer
479.id,-1459,2478
2234.state,A,WA
1565.state,OC,CO
250.city,Murphysborto,Murphysboro
31.id,2264.0,796
31.style,American IAP,American IPA
1599.state,NoC,NC
40.id,2264.0,2519
1565.city,Luongmont,Longmont
1652.city,Bcuryus,Bucryus
213.state,jVA,VA
22.beername,Lower DeBoom,Lower De Boom
11.index,1.0,11
2139.beername,Brgoken Bridge,Broken Bridge
994.breweryname,Griffin Claw BrewingCompany,Griffin Claw Brewing Company
1717.beername,Vienan Lager,Vienna Lager
2366.city,Lake Barington,Lake Barrington
2401.state,OiR,OR
1428.breweryname,Narragansewtt Brewing Company,Narragansett Brewing Company
441.beername,Contemplation (20a12),Contemplation (2012)
25.id,2264.0,876
